,instant,date,season_type,year,month,hour,holiday_or_not,week_day,working_day,weather_sit,temperature,atemperature,humidity,windspeed,casual_user,registered_user,count
0,1,2011-01-01,1,0,1,0,0,6,0,1,0.26,0.31,0.89,0.0,5,15,20
1,2,2011-01-01,1,0,1,1,0,6,0,1,0.24,0.29,0.88,0.0,10,34,44
2,3,2011-01-01,1,0,1,2,0,6,0,1,0.24,0.29,0.88,0.0,7,29,36
3,4,2011-01-01,1,0,1,3,0,6,0,1,0.26,0.31,0.82,0.0,5,12,17
4,5,2011-01-01,1,0,1,4,0,6,0,1,0.26,0.31,0.82,0.0,2,3,5
5,6,2011-01-01,1,0,1,5,0,6,0,2,0.26,0.28,0.82,0.0959,2,3,5
6,7,2011-01-01,1,0,1,6,0,6,0,1,0.24,0.29,0.88,0.0,4,2,6
7,8,2011-01-01,1,0,1,7,0,6,0,1,0.22,0.28,0.95,0.0,3,4,7
8,9,2011-01-01,1,0,1,8,0,6,0,1,0.26,0.31,0.82,0.0,3,9,12
9,10,2011-01-01,1,0,1,9,0,6,0,1,0.35,0.38,0.84,0.0,10,8,18
10,11,2011-01-01,1,0,1,10,0,6,0,1,0.42,0.43,0.84,0.2715,14,26,40
11,12,2011-01-01,1,0,1,11,0,6,0,1,0.4,0.36,0.89,0.3035,28,32,60
12,13,2011-01-01,1,0,1,12,0,6,0,1,0.46,0.46,0.85,0.3035,31,57,88
13,14,2011-01-01,1,0,1,13,0,6,0,2,0.51,0.49,0.79,0.3194,49,49,98
14,15,2011-01-01,1,0,1,14,0,6,0,2,0.51,0.49,0.79,0.3035,37,73,110
15,16,2011-01-01,1,0,1,15,0,6,0,2,0.48,0.47,0.85,0.3194,42,72,114
16,17,2011-01-01,1,0,1,16,0,6,0,2,0.46,0.46,0.9,0.3194,43,54,97
17,18,2011-01-01,1,0,1,17,0,6,0,2,0.48,0.47,0.9,0.3035,17,54,71
18,19,2011-01-01,1,0,1,18,0,6,0,3,0.46,0.46,0.97,0.2715,11,28,39
19,20,2011-01-01,1,0,1,19,0,6,0,3,0.46,0.46,0.97,0.2715,8,33,41
20,21,2011-01-01,1,0,1,20,0,6,0,2,0.44,0.44,0.96,0.2715,13,27,40
21,22,2011-01-01,1,0,1,21,0,6,0,2,0.44,0.44,0.96,0.2076,5,33,38
22,23,2011-01-01,1,0,1,22,0,6,0,2,0.44,0.44,1.03,0.2396,13,19,32
23,24,2011-01-01,1,0,1,23,0,6,0,2,0.51,0.49,0.97,0.3194,17,26,43
24,25,2011-01-02,1,0,1,0,0,0,0,2,0.51,0.49,0.97,0.3194,6,15,21
25,26,2011-01-02,1,0,1,1,0,0,0,2,0.48,0.47,1.03,0.2715,3,18,21
